ctrcode,ctrname
ALG,Algeria
ARE,Egypt
GCC,Gulf Cooperation Council
IRN,Iran
IRQ,Iraq
JOR,Jordan
LBY,Libya
LEB,Lebanon
SYR,Syria
TUN,Tunisia
TUR,Turkey
YEM,Yemen
